==========================================
  监控指标测试服务已启动
  端口: 8088
==========================================

可用接口:
  健康检查:    GET http://localhost:8088/api/test/health
  RabbitMQ指标: GET http://localhost:8088/api/test/rabbitmq
  主机指标:    GET http://localhost:8088/api/test/host
  日志指标:    GET http://localhost:8088/api/test/logs

按 Ctrl+C 停止服务

==========================================
  监控指标测试服务已启动
  端口: 8088
==========================================

可用接口:
  健康检查:    GET http://localhost:8088/api/test/health
  RabbitMQ指标: GET http://localhost:8088/api/test/rabbitmq
  主机指标:    GET http://localhost:8088/api/test/host
  日志指标:    GET http://localhost:8088/api/test/logs

按 Ctrl+C 停止服务

[GIN] 2026/07/10 - 11:20:10 | 404 |     145.042µs |       127.0.0.1 | GET      "/"
[GIN] 2026/07/10 - 11:20:14 | 200 |    1.299458ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 11:20:14 | 200 |    1.552584ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 11:20:14 | 200 |    1.211916ms |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 11:20:14 | 200 |     975.625µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 11:20:14 | 200 |     148.041µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 11:20:14 | 200 |     237.958µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 11:20:14 | 200 |     174.417µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 11:20:14 | 200 |      53.333µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 11:20:14 | 200 |      96.333µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 11:20:14 | 200 |       52.25µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 11:20:14 | 200 |      63.417µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 11:20:14 | 200 |      30.042µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 11:20:14 | 200 |      29.041µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 11:20:14 | 200 |        23.5µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 11:20:14 | 200 |      69.459µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 11:20:14 | 200 |        58.5µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:26 | 200 |    1.775083ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 14:29:26 | 200 |    1.582083ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 14:29:26 | 200 |     948.875µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:26 | 200 |     923.708µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:26 | 200 |     290.834µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:26 | 200 |      33.709µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:26 | 200 |     135.708µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:26 | 200 |     292.375µs |       127.0.0.1 | GET      "/api/test/logs"
